Run,Date,Instrument,Plate,Sample,Index,Reject,FAM_Target 1,FAM_Target 1_pos
197841 Blindtest 3395 01 1to100 5 17 22,05/17/2022,Absolute Q 226272021070002,M01KJ210200376,B1,65,FALSE,4419.5,FALSE
197841 Blindtest 3395 01 1to100 5 17 22,05/17/2022,Absolute Q 226272021070002,M01KJ210200376,B1,66,FALSE,4384.6,FALSE
197841 Blindtest 3395 01 1to100 5 17 22,05/17/2022,Absolute Q 226272021070002,M01KJ210200376,B1,67,FALSE,3245.5,FALSE
197841 Blindtest 3395 01 1to100 5 17 22,05/17/2022,Absolute Q 226272021070002,M01KJ210200376,B1,68,FALSE,3745.8,FALSE
197841 Blindtest 3395 01 1to100 5 17 22,05/17/2022,Absolute Q 226272021070002,M01KJ210200376,B1,69,FALSE,3205.4,FALSE
197841 Blindtest 3395 01 1to100 5 17 22,05/17/2022,Absolute Q 226272021070002,M01KJ210200376,B1,70,FALSE,3656,FALSE
197841 Blindtest 3395 01 1to100 5 17 22,05/17/2022,Absolute Q 226272021070002,M01KJ210200376,B1,71,FALSE,4537.9,FALSE
197841 Blindtest 3395 01 1to100 5 17 22,05/17/2022,Absolute Q 226272021070002,M01KJ210200376,B1,72,FALSE,5614.8,FALSE
197841 Blindtest 3395 01 1to100 5 17 22,05/17/2022,Absolute Q 226272021070002,M01KJ210200376,B1,73,FALSE,5643.5,FALSE
197841 Blindtest 3395 01 1to100 5 17 22,05/17/2022,Absolute Q 226272021070002,M01KJ210200376,B1,74,FALSE,-241.42,FALSE
197841 Blindtest 3395 01 1to100 5 17 22,05/17/2022,Absolute Q 226272021070002,M01KJ210200376,B1,75,FALSE,3546.8,FALSE
197841 Blindtest 3395 01 1to100 5 17 22,05/17/2022,Absolute Q 226272021070002,M01KJ210200376,B1,76,FALSE,4462.7,FALSE
197841 Blindtest 3395 01 1to100 5 17 22,05/17/2022,Absolute Q 226272021070002,M01KJ210200376,B1,77,FALSE,3070.4,FALSE
197841 Blindtest 3395 01 1to100 5 17 22,05/17/2022,Absolute Q 226272021070002,M01KJ210200376,B1,78,FALSE,4602.2,FALSE
197841 Blindtest 3395 01 1to100 5 17 22,05/17/2022,Absolute Q 226272021070002,M01KJ210200376,B1,79,FALSE,-80.245,FALSE
197841 Blindtest 3395 01 1to100 5 17 22,05/17/2022,Absolute Q 226272021070002,M01KJ210200376,B1,80,FALSE,4688.1,FALSE
197841 Blindtest 3395 01 1to100 5 17 22,05/17/2022,Absolute Q 226272021070002,M01KJ210200376,B1,81,FALSE,230.2,FALSE
197841 Blindtest 3395 01 1to100 5 17 22,05/17/2022,Absolute Q 226272021070002,M01KJ210200376,B1,82,FALSE,86.867,FALSE
197841 Blindtest 3395 01 1to100 5 17 22,05/17/2022,Absolute Q 226272021070002,M01KJ210200376,B1,83,FALSE,3353.5,FALSE
197841 Blindtest 3395 01 1to100 5 17 22,05/17/2022,Absolute Q 226272021070002,M01KJ210200376,B1,84,FALSE,3994.4,FALSE
197841 Blindtest 3395 01 1to100 5 17 22,05/17/2022,Absolute Q 226272021070002,M01KJ210200376,B1,85,FALSE,117.85,FALSE
197841 Blindtest 3395 01 1to100 5 17 22,05/17/2022,Absolute Q 226272021070002,M01KJ210200376,B1,86,FALSE,-9.852,FALSE
197841 Blindtest 3395 01 1to100 5 17 22,05/17/2022,Absolute Q 226272021070002,M01KJ210200376,B1,87,FALSE,4562.2,FALSE
197841 Blindtest 3395 01 1to100 5 17 22,05/17/2022,Absolute Q 226272021070002,M01KJ210200376,B1,88,FALSE,1614,FALSE
197841 Blindtest 3395 01 1to100 5 17 22,05/17/2022,Absolute Q 226272021070002,M01KJ210200376,B1,89,FALSE,3248.3,FALSE
197841 Blindtest 3395 01 1to100 5 17 22,05/17/2022,Absolute Q 226272021070002,M01KJ210200376,B1,90,FALSE,4280.7,FALSE
197841 Blindtest 3395 01 1to100 5 17 22,05/17/2022,Absolute Q 226272021070002,M01KJ210200376,B1,91,FALSE,4336,FALSE
