Run,Date,Instrument,Plate,Sample,Index,Reject,VIC_Target 2,VIC_Target 2_pos
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,137,FALSE,329.82,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,138,FALSE,308.64,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,139,FALSE,288.46,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,140,FALSE,207.19,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,141,FALSE,178.3,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,142,FALSE,3178.3,TRUE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,143,FALSE,229.73,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,144,FALSE,3590.3,TRUE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,145,FALSE,241.13,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,146,FALSE,308.17,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,147,FALSE,2860.1,TRUE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,148,FALSE,209.36,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,149,FALSE,200.43,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,150,FALSE,269.82,FALSE
197841 blindtest 143 01 1to100 5 24 22,05/24/2022,Absolute Q 226272021070002,M01KC222500472,B1,151,FALSE,2130,TRUE
